ticker	market	yyyymm	date	svolume	sturnover	svelo	nb	nbt	shares_lis	pr_cls	ssnb	ssnbt	ssturnover	ssvolume	ssvelo
AAA	HNX	201208	41152	3977000	65962570000	40.1717	23	23	9900000	14100	250	250	9.82507E+11	55012200	555.6788
ACB	HNX	201208	41152	8832900	1.93649E+11	0.9461	23	23	933570390	19800	250	249	2.81519E+12	118503200	12.6935
ADC	HNX	201208	41152	20000	193650000	2	23	19	1000000	9500	250	198	2423080000	306900	30.69
ALT	HNX	201208	41152	16500	150870000	0.3081	23	13	5356212	9500	250	202	8667690000	808500	15.0948
ALV	HNX	201208	41152	342400	1519550000	22.8267	23	22	1500000	4200	250	246	25605820000	4311900	287.46
AMC	HNX	201208	41152	0	0	0	23	0	2739743	18000	138	48	3287100000	180400	6.5845
AME	HNX	201208	41152	47000	109320000	0.3917	23	19	12000000	2300	250	221	3191360000	981700	8.1809
AMV	HNX	201208	41152	54400	175740000	2.5712	23	16	2115750	2900	250	214	12156140000	2379100	112.5168
APG	HNX	201208	41152	192600	595550000	1.4236	23	22	13528900	3000	250	239	29522720000	6535600	48.3084
API	HNX	201208	41152	2363400	8712940000	8.9523	23	23	26400000	3600	250	249	1.96847E+11	44315400	167.8615
APP	HNX	201208	41152	65300	662950000	1.7116	23	19	3963960	10000	250	215	15529160000	1257300	34.8333
APS	HNX	201208	41152	19101300	78757760000	48.9777	23	23	39000000	3900	250	250	6.88629E+11	161325100	413.6542
ARM	HNX	201208	41152	29600	475900000	1.1416	23	10	2592740	15000	250	124	6132320000	407200	15.7054
ASA	HNX	201208	41152	3090200	43575630000	103.0067	23	23	3000000	14200	120	110	1.70969E+11	11696100	389.87
AVS	HNX	201208	41152	6187100	24164020000	17.1864	23	23	36000000	3800	250	249	5.21738E+11	114132500	317.0348
B82	HNX	201208	41152	7100	57650000	0.2367	23	18	3000000	7400	250	198	3320780000	312700	10.4235
BBS	HNX	201208	41152	9400	70340000	0.235	23	11	4000000	7000	250	166	9288400000	1167300	29.1825
BCC	HNX	201208	41152	1259300	5852590000	1.3164	23	23	95661397	4400	250	250	2.23736E+11	43791500	45.7776
BDB	HNX	201208	41152	0	0	0	23	0	1126474	7200	250	80	450690000	79300	7.0396
BED	HNX	201208	41152	800	7680000	0.0267	23	5	3000000	9600	250	63	1002070000	93100	3.1034
BHC	HNX	201208	41152	4600	13020000	0.1022	23	7	4500000	2700	250	189	5889630000	1305800	29.0178
BHT	HNX	201208	41152	43800	311070000	0.9595	23	15	4565000	6500	250	67	907080000	108300	2.4289
BHV	HNX	201208	41152	0	0	0	23	0	1000013	8900	250	98	528210000	48500	4.85
BKC	HNX	201208	41152	1643600	16402300000	27.2358	23	23	6034700	9000	250	249	2.31069E+11	19691200	326.2995
BLF	HNX	201208	41152	261300	928890000	5.226	23	22	5000000	3500	250	246	26700240000	5653100	113.062
BPC	HNX	201208	41152	51100	408440000	1.3447	23	16	3800000	8000	250	192	9128920000	1168900	30.7604
BSC	HNX	201208	41152	200	1440000	0.0063	23	2	3150747	7400	250	76	1161110000	135700	4.4834
BST	HNX	201208	41152	400	2920000	0.0364	23	1	1100000	7300	250	78	1100370000	169100	15.3729
