STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
DPM	PVN Fertilizer and Chemicals	377647740	100	100	33.000	VND	0.001	1.00	33.000	 12,462,375,420,000 	10/11/2011	0:00:00	 377,647,740,000 	 1.00 	 1.00 	VND	PVN10PRVND	42.35%						0
PVD	PVN Drilling & Well Services	209740215	100	100	8.000	VND	0.001	1.00	8.000	 1,677,921,720,000 	10/11/2011	0:00:00	  	  	  	VND	PVN10PRVND	5.70%						0
PVF	PVN Finance	600000000	100	100	10.900	VND	0.001	1.00	10.900	 6,540,000,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVN10PRVND	22.23%						0
PVS	PVN Technical Services	297802094	100	100	4.500	VND	0.001	1.00	4.500	 1,340,109,423,000 	10/11/2011	0:00:00	 357,362,512,800 	 1.20 	 1.20 	VND	PVN10PRVND	4.55%						0
PVX	PVN Construction	250000000	100	100	7.000	VND	0.001	1.00	7.000	 1,750,000,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVN10PRVND	5.95%						0
PVI	PVN Insurance	157531264	100	100	4.400	VND	0.001	1.00	4.400	 693,137,561,600 	10/11/2011	0:00:00	  	  	  	VND	PVN10PRVND	2.36%						0
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	12.300	VND	0.001	1.00	12.300	 527,670,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVN10PRVND	1.79%						0
NT2	PVN Power NhonTrach 2	256000000	100	100	6.000	VND	0.001	1.00	6.000	 1,536,000,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVN10PRVND	5.22%						0
PVT	PVN Transportation	232600000	100	100	11.900	VND	0.001	1.00	11.900	 2,767,940,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVN10PRVND	9.41%						0
PGS	PVN Southern Gas	38000000	100	100	3.400	VND	0.001	1.00	3.400	 129,200,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVN10PRVND	0.44%						0
DPM	PVN Fertilizer and Chemicals	377647740	100	100	33.000	VND	0.001	1.00	33.000	 12,462,375,420,000 	10/11/2011	0:00:00	 377,647,740,000 	 1.00 	 1.00 	VND	PVNASPRVND	42.35%						0
PVD	PVN Drilling & Well Services	209740215	100	100	8.000	VND	0.001	1.00	8.000	 1,677,921,720,000 	10/11/2011	0:00:00	  	  	  	VND	PVNASPRVND	5.70%						0
PVF	PVN Finance	600000000	100	100	10.900	VND	0.001	1.00	10.900	 6,540,000,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVNASPRVND	22.23%						0
PVS	PVN Technical Services	297802094	100	100	4.500	VND	0.001	1.00	4.500	 1,340,109,423,000 	10/11/2011	0:00:00	 357,362,512,800 	 1.20 	 1.20 	VND	PVNASPRVND	4.55%						0
PVX	PVN Construction	250000000	100	100	7.000	VND	0.001	1.00	7.000	 1,750,000,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVNASPRVND	5.95%						0
PVI	PVN Insurance	157531264	100	100	4.400	VND	0.001	1.00	4.400	 693,137,561,600 	10/11/2011	0:00:00	  	  	  	VND	PVNASPRVND	2.36%						0
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	12.300	VND	0.001	1.00	12.300	 527,670,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVNASPRVND	1.79%						0
NT2	PVN Power NhonTrach 2	256000000	100	100	6.000	VND	0.001	1.00	6.000	 1,536,000,000,000 	10/11/2011	0:00:00	  	  	  	VND	PVNASPRVND	5.22%						0
